entity_id,comment
do_113729186519785472154,"98% completed personal effectiveness and creative thinking pdf are not open, any problem, how to open those pdf and when it will completed the course, please reply "
do_113729186519785472154,This designed training is very good but some pdf files are not opening even in several attempts. it is requested to arrange to fix this issue please.
do_113729186519785472154,creative thinking and personal affect ess pdf not open.
do_113729186519785472154,creative thinking and personal affect ess pdf not opening 
do_113729186519785472154,critical thinking pdf in non executive module is not opening 
do_113729186519785472154,personal effectiveness pdf in non executive module is not opening. please help to complete this 
do_113729186519785472154,critical thinking and personal effectiveness PDFs are not opening.. pls help to complete this module .
do_113729186519785472154,Nice 
do_113729186519785472154,two pdf are opening....pl help
do_113729186519785472154,two PDF of Non Executives are not opening. due to this not able to generate the certificate. however all assessment completed. please help
do_113729186519785472154,"two pdfs are not opening, otherwise completed the course. pls help"
do_113729186519785472154,two are not opening
do_113729186519785472154,two are not opening.please do something certificate is pending 
do_113729186519785472154,please send the solution for opening two files 
do_113729186519785472154,critical thinking  & personal effectiveness PDF not opening. Kindly resolve the issue. 
do_113729186519785472154,very good
do_113729186519785472154,good experience 
do_113729186519785472154,two pdf not opening 
do_113729186519785472154,personal effectiveness and creative thinking PDF are not open. So I have been completed 98 % only. kindly remove this problem. 
do_113729186519785472154,completed the executive programme but it's showing only 58 percent. no certificate is generated.
do_113729186519785472154,personal effectiveness and creative thinking pdf not opening so completed 98% only 
do_113729186519785472154,Personal effectiveness and creative thinking pdf not opening so completed 98% only.
do_113729186519785472154,Good for BSNL Employee as well other concern Employees resulting with improving personality 👍
do_113729186519785472154,"personal effectiveness and creative thinking pdf not opening, 98% completed please resolve issue "
do_113729186519785472154,personal effectiveness and creative thinking pdf not opening pls resolve the issue ASAP.
do_113729186519785472154,personal effectiveness and creative thinking pdf not solved 2 item (hindi)
do_113729186519785472154,pdf english module opened. but hindi module not opened. so the course is pending
do_113729186519785472154,"I have completed Mission Karmyogi EXECUTIVE AND NON EXECUTIVE, but both should be separate  course "
